sample,iso,elapsed_s,rss_bytes,peak_rss_bytes,handles,threads,cpu_ms,tcp_total,tcp_established,tcp_listen,tcp_close_wait,tcp_time_wait,tcp_other,leech_completed,leech_failed,churn_runs,listener_probes,listener_failed,listener_healthy
0,2026-08-25T01:42:19.655Z,2,14434304,15007744,203,28,438,274,0,1,273,0,0,0,0,0,0,0,1
1,2026-08-25T01:42:39.737Z,22,14909440,15183872,291,29,1781,2,1,1,0,0,0,2,0,0,0,0,1
2,2026-08-25T01:43:03.964Z,46,14671872,15183872,200,22,1781,1,0,1,0,0,0,4,0,1,0,0,1
3,2026-08-25T01:43:27.917Z,70,14741504,15183872,229,22,1781,1,0,1,0,0,0,4,0,2,2,0,1
4,2026-08-25T01:43:52.117Z,94,14749696,15183872,216,22,1828,1,0,1,0,0,0,4,0,3,2,0,1
5,2026-08-25T01:44:16.248Z,118,14790656,15183872,198,22,1906,1,0,1,0,0,0,4,0,4,3,0,1
6,2026-08-25T01:44:39.371Z,141,14893056,15499264,201,23,2578,1,0,1,0,0,0,4,0,5,5,0,1
7,2026-08-25T01:45:03.858Z,166,15138816,15650816,204,24,3016,1,0,1,0,0,0,5,0,5,6,0,1
8,2026-08-25T01:45:28.775Z,191,15802368,16121856,237,34,3141,2,1,1,0,0,0,6,1,6,7,0,1
