url,transport,network,host,port,sources,health_state,measurement_rung,failure,checks,successes,success_rate,first_seen,last_seen,last_success,last_failure,observed_from,unmeasurable_reason
udp://fh2.cmp-gaming.com:6969/announce,udp,clearnet,fh2.cmp-gaming.com,6969,desirefire_all,dead,none,dns_failure,5,0,0.0,2026-09-05T02:15:16Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://files.project-cataclysm.ru:6969/announce,udp,clearnet,files.project-cataclysm.ru,6969,newtrackon_all,dead,connected,timeout,5,0,0.0,2026-09-08T20:43:09Z,2026-09-12T20:10:48Z,,2026-09-12T20:10:48Z,github-actions-hosted,
udp://free.publictracker.xyz:6969/announce,udp,clearnet,free.publictracker.xyz,6969,desirefire_all,dead,none,dns_failure,4,0,0.0,2026-09-09T03:03:53Z,2026-09-12T17:44:09Z,,2026-09-12T17:44:09Z,github-actions-hosted,
udp://freedom.1776.ga:6969/announce,udp,clearnet,freedom.1776.ga,6969,desirefire_all,dead,none,dns_failure,4,0,0.0,2026-09-09T02:16:15Z,2026-09-12T14:58:58Z,,2026-09-12T14:58:58Z,github-actions-hosted,
udp://http//www.peckservers.com:9000/announce,udp,clearnet,http,,desirefire_all,unknown,none,dns_failure,1,0,0.0,2026-09-09T15:54:59Z,2026-09-09T15:54:59Z,,2026-09-09T15:54:59Z,github-actions-hosted,
udp://htz3.noho.st:6969/announce,udp,clearnet,htz3.noho.st,6969,desirefire_all,dead,connected,timeout,3,0,0.0,2026-09-10T10:36:18Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://ibksturm.synology.me:6969/announce,udp,clearnet,ibksturm.synology.me,6969,newtrackon_all,dead,connected,timeout,3,0,0.0,2026-09-10T10:36:18Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://ipv4.tracker.harry.lu/announce,udp,clearnet,ipv4.tracker.harry.lu,,desirefire_all,dead,none,dns_failure,6,0,0.0,2026-09-05T02:15:16Z,2026-09-12T20:10:48Z,,2026-09-12T20:10:48Z,github-actions-hosted,
udp://ipv4.tracker.harry.lu:80/announce,udp,clearnet,ipv4.tracker.harry.lu,80,desirefire_all,dead,none,dns_failure,5,0,0.0,2026-09-09T02:16:15Z,2026-09-12T14:58:58Z,,2026-09-12T14:58:58Z,github-actions-hosted,
udp://ipv4announce.sktorrent.eu:6969/announce,udp,clearnet,ipv4announce.sktorrent.eu,6969,ngosang_all;xiu2_all,live,protocol_valid,none,5,5,1.0,2026-09-08T08:57:43Z,2026-09-12T20:10:48Z,2026-09-12T20:10:48Z,,github-actions-hosted,
udp://ipv6.govt.hu:6969/announce,udp,clearnet,ipv6.govt.hu,6969,newtrackon_all;xiu2_all,unmeasurable,no_usable_address,no_usable_address,4,0,0.0,2026-09-09T02:16:15Z,2026-09-12T14:58:58Z,,2026-09-12T14:58:58Z,github-actions-hosted,
udp://ipv6.tracker.harry.lu/announce,udp,clearnet,ipv6.tracker.harry.lu,,desirefire_all,dead,none,dns_failure,3,0,0.0,2026-09-10T10:36:18Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://jutone.com:6969/announce,udp,clearnet,jutone.com,6969,desirefire_all,unknown,connected,timeout,1,0,0.0,2026-09-09T15:54:59Z,2026-09-09T15:54:59Z,,2026-09-09T15:54:59Z,github-actions-hosted,
udp://keke.re:6969/announce,udp,clearnet,keke.re,6969,desirefire_all,dead,connected,timeout,4,0,0.0,2026-09-09T03:03:53Z,2026-09-12T17:44:09Z,,2026-09-12T17:44:09Z,github-actions-hosted,
udp://kokodayo.site:6969/announce,udp,clearnet,kokodayo.site,6969,desirefire_all,dead,connected,timeout,3,0,0.0,2026-09-05T02:15:16Z,2026-09-09T15:54:59Z,,2026-09-09T15:54:59Z,github-actions-hosted,
udp://laestrygonian.ooguy.com:9001/announce,udp,clearnet,laestrygonian.ooguy.com,9001,newtrackon_all,dead,none,dns_failure,5,0,0.0,2026-09-08T20:43:09Z,2026-09-12T17:44:09Z,,2026-09-12T17:44:09Z,github-actions-hosted,
udp://laze.cc:6969/announce,udp,clearnet,laze.cc,6969,desirefire_all,dead,connected,timeout,4,0,0.0,2026-09-09T02:16:15Z,2026-09-12T14:58:58Z,,2026-09-12T14:58:58Z,github-actions-hosted,
udp://leefafa.tk:6969/announce,udp,clearnet,leefafa.tk,6969,desirefire_all,dead,none,dns_failure,3,0,0.0,2026-09-10T10:36:18Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://leet-tracker.moe:1337/announce,udp,clearnet,leet-tracker.moe,1337,ngosang_all;xiu2_all,live,protocol_valid,none,5,5,1.0,2026-09-08T08:57:43Z,2026-09-12T20:10:48Z,2026-09-12T20:10:48Z,,github-actions-hosted,
udp://ln.mtahost.co:6969/announce,udp,clearnet,ln.mtahost.co,6969,desirefire_all,unknown,connected,timeout,1,0,0.0,2026-09-09T15:54:59Z,2026-09-09T15:54:59Z,,2026-09-09T15:54:59Z,github-actions-hosted,
udp://lotus-eater.mywire.org:9001/announce,udp,clearnet,lotus-eater.mywire.org,9001,newtrackon_all,dead,none,dns_failure,5,0,0.0,2026-09-05T02:15:16Z,2026-09-12T17:44:09Z,,2026-09-12T17:44:09Z,github-actions-hosted,
udp://mail.artixlinux.org:6969/announce,udp,clearnet,mail.artixlinux.org,6969,desirefire_all,dead,connected,timeout,5,0,0.0,2026-09-09T02:16:15Z,2026-09-12T14:58:58Z,,2026-09-12T14:58:58Z,github-actions-hosted,
udp://mail.segso.net:6969/announce,udp,clearnet,mail.segso.net,6969,desirefire_all;newtrackon_all;ngosang_all;xiu2_all,live,protocol_valid,none,6,6,1.0,2026-09-08T08:57:43Z,2026-09-12T14:58:58Z,2026-09-12T14:58:58Z,,github-actions-hosted,
udp://mail.zasaonsk.ga:6969/announce,udp,clearnet,mail.zasaonsk.ga,6969,desirefire_all,dead,none,dns_failure,4,0,0.0,2026-09-10T03:04:05Z,2026-09-12T20:10:48Z,,2026-09-12T20:10:48Z,github-actions-hosted,
udp://market-re.quest:6969/announce,udp,clearnet,market-re.quest,6969,desirefire_all,dead,none,dns_failure,6,0,0.0,2026-09-08T21:33:23Z,2026-09-12T10:05:17Z,,2026-09-12T10:05:17Z,github-actions-hosted,
udp://martin-gebhardt.eu:25/announce,udp,clearnet,martin-gebhardt.eu,25,newtrackon_all;ngosang_all;xiu2_all,live,protocol_valid,none,5,5,1.0,2026-09-08T08:57:43Z,2026-09-12T14:58:58Z,2026-09-12T14:58:58Z,,github-actions-hosted,
udp://mirror.aptus.co.tz:6969/announce,udp,clearnet,mirror.aptus.co.tz,6969,desirefire_all,dead,connected,timeout,6,0,0.0,2026-09-08T21:33:23Z,2026-09-12T10:05:17Z,,2026-09-12T10:05:17Z,github-actions-hosted,
udp://moonburrow.club:6969/announce,udp,clearnet,moonburrow.club,6969,desirefire_all,dead,connected,timeout,5,0,0.0,2026-09-05T02:15:16Z,2026-09-12T17:44:09Z,,2026-09-12T17:44:09Z,github-actions-hosted,
udp://movies.zsw.ca:6969/announce,udp,clearnet,movies.zsw.ca,6969,desirefire_all,dead,connected,timeout,3,0,0.0,2026-09-08T16:40:36Z,2026-09-12T22:49:57Z,,2026-09-12T22:49:57Z,github-actions-hosted,
udp://mserver.link:6969/announce,udp,clearnet,mserver.link,6969,desirefire_all,unknown,connected,timeout,2,0,0.0,2026-09-08T20:43:09Z,2026-09-09T15:54:59Z,,2026-09-09T15:54:59Z,github-actions-hosted,
udp://mts.tvbit.co:6969/announce,udp,clearnet,mts.tvbit.co,6969,desirefire_all,dead,none,dns_failure,4,0,0.0,2026-09-10T03:04:05Z,2026-09-12T20:10:48Z,,2026-09-12T20:10:48Z,github-actions-hosted,
udp://nagios.tks.sumy.ua:80/announce,udp,clearnet,nagios.tks.sumy.ua,80,desirefire_all,dead,connected,timeout,3,0,0.0,2026-09-10T10:36:18Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://navegador.click:6969/announce,udp,clearnet,navegador.click,6969,newtrackon_all,dead,connected,timeout,4,0,0.0,2026-09-09T03:03:53Z,2026-09-12T17:44:09Z,,2026-09-12T17:44:09Z,github-actions-hosted,
udp://new-line.net:6969/announce,udp,clearnet,new-line.net,6969,desirefire_all;newtrackon_all,dead,connected,timeout,4,0,0.0,2026-09-10T03:04:05Z,2026-09-12T20:10:48Z,,2026-09-12T20:10:48Z,github-actions-hosted,
udp://node01.madtia.cc:42069/announce,udp,clearnet,node01.madtia.cc,42069,newtrackon_all,dead,none,dns_failure,5,0,0.0,2026-09-05T02:15:16Z,2026-09-12T14:58:58Z,,2026-09-12T14:58:58Z,github-actions-hosted,
udp://node01.torrentonline.cc:42069/announce,udp,clearnet,node01.torrentonline.cc,42069,newtrackon_all,dead,connected,timeout,5,0,0.0,2026-09-09T02:16:15Z,2026-09-12T14:58:58Z,,2026-09-12T14:58:58Z,github-actions-hosted,
udp://node02.madtia.cc:42069/announce,udp,clearnet,node02.madtia.cc,42069,newtrackon_all,dead,none,dns_failure,5,0,0.0,2026-09-08T20:43:09Z,2026-09-12T17:44:09Z,,2026-09-12T17:44:09Z,github-actions-hosted,
udp://ns-1.x-fins.com:6969/announce,udp,clearnet,ns-1.x-fins.com,6969,desirefire_all,dead,connected,timeout,3,0,0.0,2026-09-10T10:36:18Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://ns1.monolithindustries.com:6969/announce,udp,clearnet,ns1.monolithindustries.com,6969,desirefire_all,dead,none,dns_failure,3,0,0.0,2026-09-10T10:36:18Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://ns575949.ip-51-222-82.net:6969/announce,udp,clearnet,ns575949.ip-51-222-82.net,6969,newtrackon_all;ngosang_all;xiu2_all,live,protocol_valid,none,2,2,1.0,2026-09-08T08:57:43Z,2026-09-09T15:54:59Z,2026-09-09T15:54:59Z,,github-actions-hosted,
udp://obey.torrentonline.cc:42069/announce,udp,clearnet,obey.torrentonline.cc,42069,newtrackon_all,degraded,connected,timeout,5,1,0.522006,2026-09-05T02:15:16Z,2026-09-12T20:10:48Z,2026-09-05T02:15:16Z,2026-09-12T20:10:48Z,github-actions-hosted,
udp://oh.fuuuuuck.com:6969/announce,udp,clearnet,oh.fuuuuuck.com,6969,desirefire_all,dead,none,dns_failure,4,0,0.0,2026-09-09T02:16:15Z,2026-09-12T14:58:58Z,,2026-09-12T14:58:58Z,github-actions-hosted,
udp://open.4ever.tk:6969/announce,udp,clearnet,open.4ever.tk,6969,desirefire_all,dead,none,dns_failure,7,0,0.0,2026-09-08T21:33:23Z,2026-09-12T10:05:17Z,,2026-09-12T10:05:17Z,github-actions-hosted,
udp://open.demonii.com:1337/announce,udp,clearnet,open.demonii.com,1337,desirefire_all;newtrackon_all;ngosang_all;xiu2_all,live,protocol_valid,none,6,6,1.0,2026-09-08T08:57:43Z,2026-09-12T14:58:58Z,2026-09-12T14:58:58Z,,github-actions-hosted,
udp://open.demonoid.ch:6969/announce,udp,clearnet,open.demonoid.ch,6969,ngosang_all;xiu2_all,live,protocol_valid,none,3,3,1.0,2026-09-08T08:57:43Z,2026-09-12T22:49:57Z,2026-09-12T22:49:57Z,,github-actions-hosted,
udp://open.free-tracker.ga:6969/announce,udp,clearnet,open.free-tracker.ga,6969,desirefire_all,dead,connected,timeout,4,0,0.0,2026-09-09T02:16:15Z,2026-09-12T14:58:58Z,,2026-09-12T14:58:58Z,github-actions-hosted,
udp://open.ftorrent.com:443/announce,udp,clearnet,open.ftorrent.com,443,newtrackon_all;ngosang_all;xiu2_all,live,protocol_valid,none,7,7,1.0,2026-09-08T08:57:43Z,2026-09-12T10:05:17Z,2026-09-12T10:05:17Z,,github-actions-hosted,
udp://open.publictracker.xyz:6969/announce,udp,clearnet,open.publictracker.xyz,6969,desirefire_all,dead,none,dns_failure,3,0,0.0,2026-09-05T02:15:16Z,2026-09-12T22:49:57Z,,2026-09-12T22:49:57Z,github-actions-hosted,
udp://open.stealth.si/announce,udp,clearnet,open.stealth.si,,desirefire_all,live,protocol_valid,none,6,6,1.0,2026-09-08T21:33:23Z,2026-09-12T10:05:17Z,2026-09-12T10:05:17Z,,github-actions-hosted,
udp://open.stealth.si:80/announce,udp,clearnet,open.stealth.si,80,desirefire_all;newtrackon_all;ngosang_all;xiu2_all,live,protocol_valid,none,4,4,1.0,2026-09-08T08:57:43Z,2026-09-12T22:49:57Z,2026-09-12T22:49:57Z,,github-actions-hosted,
udp://open.tracker.cl:1337/announce,udp,clearnet,open.tracker.cl,1337,desirefire_all,dead,connected,timeout,5,0,0.0,2026-09-09T02:16:15Z,2026-09-12T14:58:58Z,,2026-09-12T14:58:58Z,github-actions-hosted,
udp://open.tracker.ink:6969/announce,udp,clearnet,open.tracker.ink,6969,desirefire_all;xiu2_all,dead,connected,timeout,3,0,0.0,2026-09-10T10:36:18Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://open.u-p.pw:6969/announce,udp,clearnet,open.u-p.pw,6969,desirefire_all,dead,none,dns_failure,4,0,0.0,2026-09-09T03:03:53Z,2026-09-12T17:44:09Z,,2026-09-12T17:44:09Z,github-actions-hosted,
udp://opentor.org:2710/announce,udp,clearnet,opentor.org,2710,xiu2_all,dead,connected,timeout,4,0,0.0,2026-09-05T02:15:16Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://opentracker.i2p.rocks:6969/announce,udp,clearnet,opentracker.i2p.rocks,6969,desirefire_all,dead,none,dns_failure,4,0,0.0,2026-09-09T02:16:15Z,2026-09-12T14:58:58Z,,2026-09-12T14:58:58Z,github-actions-hosted,
udp://opentracker.io:6969/announce,udp,clearnet,opentracker.io,6969,desirefire_all;newtrackon_all,dead,none,dns_failure,3,0,0.0,2026-09-10T10:36:18Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://opentrackr.org:1337/announce,udp,clearnet,opentrackr.org,1337,desirefire_all,live,protocol_valid,none,4,4,1.0,2026-09-08T16:40:36Z,2026-09-12T03:06:42Z,2026-09-12T03:06:42Z,,github-actions-hosted,
udp://p2p.publictracker.xyz:6969/announce,udp,clearnet,p2p.publictracker.xyz,6969,newtrackon_all,dead,none,dns_failure,7,0,0.0,2026-09-08T21:33:23Z,2026-09-12T10:05:17Z,,2026-09-12T10:05:17Z,github-actions-hosted,
udp://p4p.arenabg.com:1337/announce,udp,clearnet,p4p.arenabg.com,1337,desirefire_all;newtrackon_all;xiu2_all,dead,connected,timeout,6,0,0.0,2026-09-08T21:33:23Z,2026-09-12T10:05:17Z,,2026-09-12T10:05:17Z,github-actions-hosted,
udp://pow7.com:80/announce,udp,clearnet,pow7.com,80,desirefire_all,unmeasurable,none,excluded_by_operator,1,0,0.0,2026-09-09T15:54:59Z,2026-09-09T15:54:59Z,,2026-09-09T15:54:59Z,github-actions-hosted,
udp://private.anonseed.com:6969/announce,udp,clearnet,private.anonseed.com,6969,desirefire_all,dead,connected,timeout,4,0,0.0,2026-09-05T02:15:16Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://psyco.fr:6969/announce,udp,clearnet,psyco.fr,6969,desirefire_all,unknown,connected,timeout,2,0,0.0,2026-09-09T10:45:32Z,2026-09-12T22:49:57Z,,2026-09-12T22:49:57Z,github-actions-hosted,
udp://public-tracker.cf:6969/announce,udp,clearnet,public-tracker.cf,6969,desirefire_all,dead,none,dns_failure,6,0,0.0,2026-09-08T21:33:23Z,2026-09-12T10:05:17Z,,2026-09-12T10:05:17Z,github-actions-hosted,
udp://public.publictracker.xyz:6969/announce,udp,clearnet,public.publictracker.xyz,6969,desirefire_all,unknown,none,exclusion_undetermined,5,0,0.0,2026-09-09T02:16:15Z,2026-09-12T14:58:58Z,,2026-09-12T14:58:58Z,github-actions-hosted,
udp://public.tracker.vraphim.com:6969/announce,udp,clearnet,public.tracker.vraphim.com,6969,desirefire_all,unmeasurable,none,excluded_by_operator,2,0,0.0,2026-09-08T20:43:09Z,2026-09-09T15:54:59Z,,2026-09-09T15:54:59Z,github-actions-hosted,
udp://qtstm32fan.ru:6969/announce,udp,clearnet,qtstm32fan.ru,6969,desirefire_all,dead,none,dns_failure,4,0,0.0,2026-09-09T03:03:53Z,2026-09-12T17:44:09Z,,2026-09-12T17:44:09Z,github-actions-hosted,
udp://rekcart.duckdns.org:15480/announce,udp,clearnet,rekcart.duckdns.org,15480,ngosang_all;xiu2_all,live,protocol_valid,none,5,5,1.0,2026-09-08T08:57:43Z,2026-09-12T14:58:58Z,2026-09-12T14:58:58Z,,github-actions-hosted,
udp://rep-art.ynh.fr:6969/announce,udp,clearnet,rep-art.ynh.fr,6969,desirefire_all,dead,connected,timeout,4,0,0.0,2026-09-05T02:15:16Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://retracker.hotplug.ru:2710/announce,udp,clearnet,retracker.hotplug.ru,2710,newtrackon_all;xiu2_all,unmeasurable,no_usable_address,no_usable_address,2,0,0.0,2026-09-09T10:45:32Z,2026-09-12T22:49:57Z,,2026-09-12T22:49:57Z,github-actions-hosted,
udp://retracker.lanta-net.ru:2710/announce,udp,clearnet,retracker.lanta-net.ru,2710,desirefire_all,dead,none,dns_failure,4,0,0.0,2026-09-09T03:03:53Z,2026-09-12T17:44:09Z,,2026-09-12T17:44:09Z,github-actions-hosted,
udp://retracker.lanta.me:2710/announce,udp,clearnet,retracker.lanta.me,2710,newtrackon_all,dead,none,dns_failure,3,0,0.0,2026-09-08T16:40:36Z,2026-09-12T22:49:57Z,,2026-09-12T22:49:57Z,github-actions-hosted,
udp://retracker01-msk-virt.corbina.net:80/announce,udp,clearnet,retracker01-msk-virt.corbina.net,80,desirefire_all;newtrackon_all;ngosang_all;xiu2_all,live,protocol_valid,none,5,5,1.0,2026-09-08T08:57:43Z,2026-09-12T03:06:42Z,2026-09-12T03:06:42Z,,github-actions-hosted,
udp://run-2.publictracker.xyz:6969/announce,udp,clearnet,run-2.publictracker.xyz,6969,desirefire_all,dead,none,dns_failure,6,0,0.0,2026-09-08T21:33:23Z,2026-09-12T10:05:17Z,,2026-09-12T10:05:17Z,github-actions-hosted,
udp://run.publictracker.xyz:6969/announce,udp,clearnet,run.publictracker.xyz,6969,desirefire_all;newtrackon_all,dead,none,dns_failure,4,0,0.0,2026-09-05T02:15:16Z,2026-09-12T03:06:42Z,,2026-09-12T03:06:42Z,github-actions-hosted,
udp://rutorrent.frontline-mod.com:6969/announce,udp,clearnet,rutorrent.frontline-mod.com,6969,desirefire_all,unknown,none,dns_failure,1,0,0.0,2026-09-09T15:54:59Z,2026-09-09T15:54:59Z,,2026-09-09T15:54:59Z,github-actions-hosted,
udp://ryjer.com:6969/announce,udp,clearnet,ryjer.com,6969,desirefire_all,unknown,connected,timeout,2,0,0.0,2026-09-09T10:45:32Z,2026-09-12T22:49:57Z,,2026-09-12T22:49:57Z,github-actions-hosted,
udp://sanincode.com:6969/announce,udp,clearnet,sanincode.com,6969,desirefire_all,dead,connected,timeout,4,0,0.0,2026-09-09T03:03:53Z,2026-09-12T17:44:09Z,,2026-09-12T17:44:09Z,github-actions-hosted,
udp://seedpeer.net:6969/announce,udp,clearnet,seedpeer.net,6969,newtrackon_all;ngosang_all;xiu2_all,degraded,connected,timeout,6,5,0.85,2026-09-08T08:57:43Z,2026-09-12T20:10:48Z,2026-09-11T22:57:29Z,2026-09-12T20:10:48Z,github-actions-hosted,
udp://shahidrazi.online:1984/announce,udp,clearnet,shahidrazi.online,1984,newtrackon_all,dead,none,dns_failure,7,0,0.0,2026-09-08T21:33:23Z,2026-09-12T10:05:17Z,,2026-09-12T10:05:17Z,github-actions-hosted,
udp://shizzle.hammetjus.nl:6969/announce,udp,clearnet,shizzle.hammetjus.nl,6969,desirefire_all,unknown,connected,timeout,1,0,0.0,2026-09-09T15:54:59Z,2026-09-09T15:54:59Z,,2026-09-09T15:54:59Z,github-actions-hosted,
udp://slicie.icon256.com:8000/announce,udp,clearnet,slicie.icon256.com,8000,desirefire_all,dead,none,dns_failure,5,0,0.0,2026-09-05T02:15:16Z,2026-09-12T20:10:48Z,,2026-09-12T20:10:48Z,github-actions-hosted,
udp://smtp-relay.odysseylabel.com.au:6969/announce,udp,clearnet,smtp-relay.odysseylabel.com.au,6969,desirefire_all,unknown,connected,timeout,2,0,0.0,2026-09-09T10:45:32Z,2026-09-12T22:49:57Z,,2026-09-12T22:49:57Z,github-actions-hosted,
